stage,accuracy,precision,recall,f1,evaluated_examples
pre_finetuning,0.7735849056603774,0.7441860465116279,0.9696969696969697,0.8421052631578948,53
post_finetuning,0.37735849056603776,0.0,0.0,0.0,53
